Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Marple Lodge Care Home,19 Arkwright Road,Marple,Stockport,Cheshire,SK6 7DB,1614277248.0,1-101620326,1-127130549,,Stockport,North West,2018-07-24T23:00:00Z,http://www.cqc.org.uk/location/1-127130549,,"Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,I Care International Limited
Thicketford Place,132 Thicketford Road,,Bolton,Lancashire,BL2 2LU,1204392043.0,1-101612762,1-112470208,,Bolton,North West,2018-11-09T00:00:00Z,http://www.cqc.org.uk/location/1-112470208,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",Residential homes,Cornerstone Trust
Fern Bank Therapeutic Community Ltd,91-95 Queens Road,,Oldham,Lancashire,OL8 2BA,1616264079.0,1-2565039519,1-2711314834,,Oldham,North West,2018-06-13T23:00:00Z,http://www.cqc.org.uk/location/1-2711314834,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Residential homes,Fernbank Therapeutic Community Ltd
Alexandra Lodge Care Centre,355-357 Wilbraham Road,Chorlton,Manchester,Greater Manchester,M16 8NP,1618605400.0,1-101633197,1-123923611,,Manchester,North West,2018-03-14T00:00:00Z,http://www.cqc.org.uk/location/1-123923611,,Caring for adults over 65 yrs,Nursing homes,Dr Jawed Hamid
Russley Lodge,276 Wilbraham Road,,Manchester,Lancashire,M16 8WP,1618812989.0,1-101712456,1-3475060739,,Manchester,North West,2020-09-08T23:00:00Z,http://www.cqc.org.uk/location/1-3475060739,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mr Bradley Scott Jones & Mr Russell Scott Jones
Peel Moat,2 Peel Moat Road,Heaton Moor,Stockport,Cheshire,SK4 4PL,1614422597.0,1-470508438,1-1396376602,http://www.harbourhealthcare.co.uk,Stockport,North West,2017-12-29T00:00:00Z,http://www.cqc.org.uk/location/1-1396376602,,"Dementia,Caring for adults over 65 yrs",Residential homes,Harbour Healthcare Ltd
Ann Challis,128 Stretford Road,Urmston,Manchester,Greater Manchester,M41 9LT,1617483597.0,1-101611126,1-127443456,http://www.jemcareltd.co.uk,Trafford,North West,2020-12-08T00:00:00Z,http://www.cqc.org.uk/location/1-127443456,,Caring for adults over 65 yrs,Residential homes,J.E.M. Care Limited
Abney Court,Abney Park,,Cheadle,Cheshire,SK8 2PD,3333211922.0,1-116865825,1-2184288474,http://www.careuk.com,Stockport,North West,2017-12-08T00:00:00Z,http://www.cqc.org.uk/location/1-2184288474,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Care UK Community Partnerships Ltd
St Marys Nursing Home,St Marys Road,Moston,Manchester,Lancashire,M40 0BL,1617111920.0,1-2845518101,1-3745990010,,Manchester,North West,2020-12-16T00:00:00Z,http://www.cqc.org.uk/location/1-3745990010,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Qualia Care Limited
Fernica (Residential Care Home),18-20 Kings Road,Prestwich,Manchester,Greater Manchester,M25 0LE,1617736603.0,1-101712348,1-119999031,,Bury,North West,2018-11-14T00:00:00Z,http://www.cqc.org.uk/location/1-119999031,,"Caring for adults under 65 yrs,Mental health conditions",Residential homes,Miss Marguerite Clark and Mrs Miriam Laventiz
Alfred House Residential Care Home,29-31 Horne Street,,Bury,Lancashire,BL9 9BW,1617642442.0,1-101630165,1-125085358,,Bury,North West,2018-11-10T00:00:00Z,http://www.cqc.org.uk/location/1-125085358,,"Caring for adults under 65 yrs,Mental health conditions",Residential homes,Mrs Margaret Ann Partridge
Oakdene Care Home,32-34 Stamford Road,Lees,Oldham,Lancashire,OL4 3LH,1616244594.0,1-4448717477,1-4650101208,,Oldham,North West,2019-10-21T23:00:00Z,http://www.cqc.org.uk/location/1-4650101208,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Residential homes,Oakdene Care Home Limited
Bradmere Residential Care Home,14-18 Franklin Street,Patricroft,Eccles,Lancashire,M30 0QZ,1617878631.0,1-2244305582,1-2466669492,http://www.bradmereandmerrymeetcare.co.uk,Salford,North West,2020-03-07T00:00:00Z,http://www.cqc.org.uk/location/1-2466669492,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Mr BT Rawlinson & Mrs ML Knight
Springfields,Springfield House,79 Waterworks Road,Oldham,Greater Manchester,OL4 2JL,1616204794.0,1-101667914,1-125056365,,Oldham,North West,2020-12-25T00:00:00Z,http://www.cqc.org.uk/location/1-125056365,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Masterpalm Properties Limited
Richmond Care,9 Plymouth Grove West,,Manchester,Greater Manchester,M13 0AQ,1612734557.0,1-101614427,1-124508196,,Manchester,North West,2020-12-25T00:00:00Z,http://www.cqc.org.uk/location/1-124508196,,"Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Roja Limited
Medlock Court,Medlock Way,Lees,Oldham,Lancashire,OL4 3LD,1617705081.0,1-757123384,1-821576968,,Oldham,North West,2020-11-24T00:00:00Z,http://www.cqc.org.uk/location/1-821576968,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Oldham Care and Support Ltd
Ferrol Lodge,49 Northenden Road,,Sale,Cheshire,M33 2DL,1619624056.0,1-2945417724,1-3001064734,,Trafford,North West,2020-12-22T00:00:00Z,http://www.cqc.org.uk/location/1-3001064734,,"Dementia,Caring for adults over 65 yrs",Residential homes,Ferrol Lodge Care Home Limited
Spurr House Short Stay Service,243 Pole Lane,,Bury,Lancashire,BL9 8QL,1612536767.0,1-2172329725,1-2562242453,,Bury,North West,2020-12-01T00:00:00Z,http://www.cqc.org.uk/location/1-2562242453,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Persona Care and Support Limited
Richard House Care Home,69-73 Beech Road,Cale Green,Stockport,Greater Manchester,SK3 8HD,1614296877.0,1-101612636,1-123656425,,Stockport,North West,2020-04-27T23:00:00Z,http://www.cqc.org.uk/location/1-123656425,,Caring for adults over 65 yrs,Residential homes,Denmax Limited
Drakelow House Residential Home,64 Parsonage Road,Heaton Moor,Stockport,Greater Manchester,SK4 4JR,1614324033.0,1-101712663,1-116969090,http://www.drakelowhouse.co.uk,Stockport,North West,2019-12-28T00:00:00Z,http://www.cqc.org.uk/location/1-116969090,,Caring for adults over 65 yrs,Residential homes,Miss G Patton
Sunny Bank PRS,Sunny Bower Street,Tottington,Bury,Lancashire,BL8 3HL,1204883621.0,1-101612600,1-140884066,http://www.sunnybankprs.co.uk,Bury,North West,2019-03-22T00:00:00Z,http://www.cqc.org.uk/location/1-140884066,,"Caring for adults under 65 yrs,Mental health conditions","Residential homes,Rehabilitation (illness/injury)",Sunnybank P.R.S. Limited
Yorklea Nursing Home,15-17 York Road,,Manchester,Greater Manchester,M21 9HP,1618629338.0,1-101677007,1-126286676,http://www.yorklea.co.uk,Manchester,North West,2020-08-20T23:00:00Z,http://www.cqc.org.uk/location/1-126286676,,"Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",Yorklea Limited
Southfield House Residential Care Home,Woodford Road,Woodford,Stockport,Greater Manchester,SK7 1QF,1614408432.0,1-101662948,1-126313433,,Stockport,North West,2019-05-28T23:00:00Z,http://www.cqc.org.uk/location/1-126313433,,"Sensory impairments,Dementia,Caring for adults over 65 yrs",Residential homes,Southfield House Limited
Lady of the Vale Care Home,Grange Road,Bowdon,Altrincham,Cheshire,WA14 3HA,1619282567.0,1-9604051166,1-10079446273,http://ladyofthevale.org.uk,Trafford,North West,2019-08-27T23:00:00Z,http://www.cqc.org.uk/location/1-10079446273,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Sisters Of St Joseph Of The Apparition CIO
Wellfield House,38-44 Athol Road,Whalley Range,Manchester,Greater Manchester,M16 8QN,1618819700.0,1-101677868,1-129527506,,Manchester,North West,2020-12-16T00:00:00Z,http://www.cqc.org.uk/location/1-129527506,,"Dementia,Caring for adults over 65 yrs",Residential homes,Wellfield Estates Ltd
Seymour Care Home,327 North Road,Clayton,Manchester,Greater Manchester,M11 4NY,1612208688.0,1-101679325,1-118274983,http://www.theseymourhome.co.uk,Manchester,North West,2020-12-24T00:00:00Z,http://www.cqc.org.uk/location/1-118274983,,"Dementia,Caring for adults over 65 yrs",Residential homes,The Seymour Home Limited
Urmston Manor,61-63,"Church Road, Urmston",Manchester,,M41 9EJ,7429340652.0,1-4835745360,1-5051437274,,Trafford,North West,2020-11-27T00:00:00Z,http://www.cqc.org.uk/location/1-5051437274,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Skydda Homes Limited
Woodland Care Home,69 Queens Road,,Oldham,Lancashire,OL8 2BA,1616249344.0,1-2700182369,1-2951007475,,Oldham,North West,2020-11-12T00:00:00Z,http://www.cqc.org.uk/location/1-2951007475,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Woodland Care Home Limited
Dryclough Manor,20 Shaw Road,Royton,Oldham,Greater Manchester,OL2 6DA,1616267454.0,1-119234302,1-126685832,http://www.drycloughmanor.co.uk,Oldham,North West,2019-06-11T23:00:00Z,http://www.cqc.org.uk/location/1-126685832,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Dryclough Manor Limited
Middleton Hall Care Home,205-207 Grimshaw Lane,Middleton,Manchester,Lancashire,M24 2BW,1616553483.0,1-1988408254,1-2096029510,,Rochdale,North West,2018-12-22T00:00:00Z,http://www.cqc.org.uk/location/1-2096029510,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Horizon Residential Homes Limited
The Mews,Fenton Street,,Rochdale,Lancashire,OL11 3TH,1706359540.0,1-120628903,1-3219767417,,Rochdale,North West,2018-05-14T23:00:00Z,http://www.cqc.org.uk/location/1-3219767417,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,East And West Healthcare Limited
Wellfield,23 Wellfield Road,Baguley,Manchester,,M23 1BG,1619451378.0,1-7464429422,1-7613423304,http://www.oakfieldpsychservices.co.uk,Manchester,North West,2020-12-16T00:00:00Z,http://www.cqc.org.uk/location/1-7613423304,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Nursing homes,Oakfield Psychological Services Limited
Half Acre Care Home,Higher Ainsworth Road,Radcliffe,Manchester,Greater Manchester,M26 4JH,1617259876.0,1-8660727025,1-8809945594,,Bury,North West,2020-12-10T00:00:00Z,http://www.cqc.org.uk/location/1-8809945594,,Caring for adults over 65 yrs,Residential homes,Marton Care Homes Ltd
Hyde Lea,49 Sharples Park,Astley Bridge,Bolton,Lancashire,BL1 6PG,1204419883.0,1-101712276,1-122728465,,Bolton,North West,2020-12-12T00:00:00Z,http://www.cqc.org.uk/location/1-122728465,,"Dementia,Caring for adults over 65 yrs",Residential homes,Mrs M L Lowe
Amberley Care Home,28 Delaunays Road,,Sale,,M33 6RX,1618258222.0,1-7867172619,1-8503184790,http://www.amberleycarehome.com,Trafford,North West,2020-12-05T00:00:00Z,http://www.cqc.org.uk/location/1-8503184790,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Amberley Care Home Limited
Cheadle Manor Care Centre,177 Stockport Road,,Cheadle,,SK8 2DP,1619272940.0,1-9654454171,1-9999900423,http://www.newcarehomes.com,Stockport,North West,,http://www.cqc.org.uk/location/1-9999900423,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,New Care Cheadle (OPCO) Limited
Cherryfield House,Petersburg Road,Edgeley,Stockport,Greater Manchester,SK3 9QZ,1614741787.0,1-101612645,1-112249445,http://www.swanvale.com,Stockport,North West,2018-01-31T00:00:00Z,http://www.cqc.org.uk/location/1-112249445,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Cherryfield Homes Limited
Max Potential UK Ltd,125 Mayor Street,,Bolton,Lancashire,BL1 4SJ,7538613409.0,1-713087815,1-2062260151,,Bolton,North West,2018-06-15T23:00:00Z,http://www.cqc.org.uk/location/1-2062260151,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Max Potential UK Ltd
Acacia Lodge Care Home,90a Broadway,New Moston,Manchester,Lancashire,M40 3WQ,1616881890.0,1-330491845,1-343004792,http://www.averyhealthcare.co.uk/care-homes/manchester-greater/manchester/acacia-lodge,Manchester,North West,2019-09-20T23:00:00Z,http://www.cqc.org.uk/location/1-343004792,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Avery Homes Moston Limited
Cheshire House,22 St Marys Road,,Sale,Cheshire,M33 6SA,1619051228.0,1-2067542096,1-2181244623,http://www.consensussupport.com,Trafford,North West,2020-12-02T00:00:00Z,http://www.cqc.org.uk/location/1-2181244623,,Learning disabilities,Nursing homes,Consensus (2013) Limited
Kingarth,17 New Road,Radcliffe,Manchester,Lancashire,M26 1LS,1617258008.0,1-215399348,1-232006008,http://www.consensussupport.com/accommodation/kingarth,Bury,North West,2018-06-18T23:00:00Z,http://www.cqc.org.uk/location/1-232006008,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions","Nursing homes,Homecare agencies",Kingarth Limited
Werneth Lodge Care Home,38 Manchester Road,,Oldham,Lancashire,OL9 7AP,1616244085.0,1-101662253,1-139890458,,Oldham,North West,2018-06-01T23:00:00Z,http://www.cqc.org.uk/location/1-139890458,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Werneth Lodge Limited
92 Carlton Road,92 Carlton Road,Whalley Range,Manchester,Lancashire,M16 8BE,1612493349.0,1-101645441,1-5267235380,http://www.standwalk.com,Manchester,North West,2020-11-13T00:00:00Z,http://www.cqc.org.uk/location/1-5267235380,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Residential homes,Standwalk Ltd
EAM House,Manchester Road,Partington,Manchester,,M31 4DJ,1617778511.0,1-243365007,1-280605934,http://www.eamcaregroup.co.uk,Trafford,North West,2018-10-18T23:00:00Z,http://www.cqc.org.uk/location/1-280605934,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",Nursing homes,EAM House Limited
Springfield House,57 Warburton Lane,Partington,Manchester,Greater Manchester,M31 4NL,1617761757.0,1-101648772,1-137364126,http://www.fairfieldresidential.co.uk,Trafford,North West,2019-02-14T00:00:00Z,http://www.cqc.org.uk/location/1-137364126,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities",Residential homes,Fairfield Residential Limited
Norlands Nursing Home,Monsall Road,Newton Heath,Manchester,Greater Manchester,M40 8NQ,1612059525.0,1-101633215,1-124645192,,Manchester,North West,2019-08-08T23:00:00Z,http://www.cqc.org.uk/location/1-124645192,,"Sensory impairments,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,J J Bordiuk and M Bordiuk
Flixton Manor,2-8 Delamere Road,Urmston,Manchester,Greater Manchester,M41 5QL,1617467175.0,1-127659242,1-303667371,http://www.flixtonmanor.com,Trafford,North West,2020-12-04T00:00:00Z,http://www.cqc.org.uk/location/1-303667371,,Caring for adults over 65 yrs,Nursing homes,Flixton House Limited
House Martins Care Limited Number One,1 Sumner Road,,Salford,Greater Manchester,M6 7QH,1617364721.0,1-101608220,1-111355307,http://www.housemartinscare.co.uk,Salford,North West,2020-11-26T00:00:00Z,http://www.cqc.org.uk/location/1-111355307,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities",Residential homes,House Martins Care Limited
Cheddle Lodge,29 Ashfield Road,Cheadle,Stockport,Greater Manchester,SK8 1BB,1614285189.0,1-101650177,1-113087594,http://www.stockportcp.co.uk,Stockport,North West,2020-12-03T00:00:00Z,http://www.cqc.org.uk/location/1-113087594,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Physical disabilities","Residential homes,Supported living","Stockport, East Cheshire, High Peak, Urmston & District Cerebral Palsy Society"
Abbeyfield House,114-116 Gatley Road,,Gatley,Cheshire,SK8 4AB,1614285434.0,1-101618788,1-229597497,http://www.caritasservices.com,Stockport,North West,2020-12-04T00:00:00Z,http://www.cqc.org.uk/location/1-229597497,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,Caritas Services Limited
Choices for Living Well (Killelea),Brandlesholme Road,,Bury,Lancashire,BL8 1JJ,1612535900.0,1-101668963,1-5004850256,,Bury,North West,2020-11-11T00:00:00Z,http://www.cqc.org.uk/location/1-5004850256,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Community services - Healthcare,Nursing homes,Residential homes,Homecare agencies,Rehabilitation (illness/injury)",Bury Metropolitan Borough Council
Bramhall Manor Care Centre,Hardy Drive,Bramhall,Stockport,,SK7 2BW,1615499651.0,1-8215051488,1-8502904528,,Stockport,North West,2020-10-30T00:00:00Z,http://www.cqc.org.uk/location/1-8502904528,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",New Care Opco (Woodford) Limited
Moston Grange Nursing Home,29 High Peak Street,,Manchester,Greater Manchester,M40 3AT,1612191300.0,1-124587211,1-143921728,http://www.equilibrium-healthcare.com,Manchester,North West,2020-11-05T00:00:00Z,http://www.cqc.org.uk/location/1-143921728,,"Dementia,Caring for adults over 65 yrs",Nursing homes,EHC Moston Grange Limited
Millfield Care Home,Bury New Road,,Heywood,Lancashire,OL10 4RQ,1706621222.0,1-2845518101,1-4162409508,,Rochdale,North West,2020-10-22T23:00:00Z,http://www.cqc.org.uk/location/1-4162409508,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Qualia Care Limited
Chester House Care Home,138 Chester Road,Hazel Grove,Stockport,Greater Manchester,SK7 6HE,1614568500.0,1-101630309,1-134138345,,Stockport,North West,2020-01-28T00:00:00Z,http://www.cqc.org.uk/location/1-134138345,,"Dementia,Caring for adults over 65 yrs",Residential homes,Mr Mohedeen Assrafally & Mrs Bibi Toridah Assrafally
Oakview Residential Care Home,19 Oakwood Avenue,Gatley,Cheadle,Cheshire,SK8 4LR,1614910106.0,1-101630309,1-134138371,,Stockport,North West,2018-10-19T23:00:00Z,http://www.cqc.org.uk/location/1-134138371,,"Dementia,Caring for adults over 65 yrs",Residential homes,Mr Mohedeen Assrafally & Mrs Bibi Toridah Assrafally
Stoneswood Residential Home,Oldham Road,Delph,Oldham,Lancashire,OL3 5EB,1457874300.0,1-101662271,1-120713619,,Oldham,North West,2018-08-15T23:00:00Z,http://www.cqc.org.uk/location/1-120713619,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities","Residential homes,Homecare agencies",Northern Care Homes Limited
Polefield Nursing Home,77 Polefield Road,,Manchester,Lancashire,M9 7EN,1617954102.0,1-101630309,1-2279393745,,Manchester,North West,2019-06-18T23:00:00Z,http://www.cqc.org.uk/location/1-2279393745,,Caring for adults over 65 yrs,Nursing homes,Mr Mohedeen Assrafally & Mrs Bibi Toridah Assrafally
Chadderton Total Care Unit Limited,Middlewood Court,Chadderton,Oldham,Lancashire,OL9 9SR,1616270027.0,1-101650195,1-120641405,http://www.total-care.org.uk,Oldham,North West,2020-11-28T00:00:00Z,http://www.cqc.org.uk/location/1-120641405,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Nursing homes,Chadderton Total-Care Unit Limited
EAM Lodge CIC,21 Fouracres Road,,Manchester,Greater Manchester,M23 1FG,1619451015.0,1-131464622,1-159629003,http://www.eamhouse.co.uk,Manchester,North West,2019-07-29T23:00:00Z,http://www.cqc.org.uk/location/1-159629003,,Caring for adults under 65 yrs,Nursing homes,EAM Lodge Community Interest Company
St George's Nursing Home (Oldham),Northgate Lane,Moorside,Oldham,Lancashire,OL1 4RU,1616264433.0,1-1406108699,1-1442899058,http://www.stgeorgescarecentre.co.uk,Oldham,North West,2019-03-14T00:00:00Z,http://www.cqc.org.uk/location/1-1442899058,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Marantomark Limited
DIL Place,28 Bradford Avenue,,Bolton,,BL3 2PF,1204350242.0,1-2447274635,1-9932660691,,Bolton,North West,,http://www.cqc.org.uk/location/1-9932660691,,"Caring for adults under 65 yrs,Mental health conditions",Residential homes,Dignity In Life Ltd
Chorley House,208 Chorley New Road,,Bolton,Lancashire,BL1 5AA,1204867717.0,1-3924958468,1-4284197889,http://www.rainbowpersonnel.co.uk,Bolton,North West,2020-12-02T00:00:00Z,http://www.cqc.org.uk/location/1-4284197889,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Rainbow Personnel Limited
Arden Court,76 Half Edge Lane,Eccles,Manchester,Lancashire,M30 9BA,1612403273.0,1-4521210418,1-4971966571,http://www.bloomcare.co.uk,Salford,North West,2020-02-26T00:00:00Z,http://www.cqc.org.uk/location/1-4971966571,,"Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Wellington Healthcare (Arden) Ltd
The Foothills,9 The Foothills,,Rochdale,Lancashire,OL16 2AY,7976848608.0,1-867149546,1-1080003429,,Rochdale,North West,2019-03-19T00:00:00Z,http://www.cqc.org.uk/location/1-1080003429,,"Caring for adults under 65 yrs,Mental health conditions",Residential homes,AS Care Solutions Limited
Bakewells Care Home,102 Junction Road,Deane,Bolton,Lancashire,BL3 4NE,1204655772.0,1-1308966236,1-1344596079,http://www.morgancare.co.uk,Bolton,North West,2020-09-08T23:00:00Z,http://www.cqc.org.uk/location/1-1344596079,,"Dementia,Caring for adults over 65 yrs",Residential homes,Morgan Care Limited
Stubble Bank,159 Whalley Road,Ramsbottom,Bury,Lancashire,BL0 0DG,1706396994.0,1-266121444,1-9486503634,,Bury,North West,2020-11-19T00:00:00Z,http://www.cqc.org.uk/location/1-9486503634,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Mental health conditions",Residential homes,Care In Mind Limited
EAM Lodge (Trafford),46 Manchester Road,Partington,Manchester,Lancashire,M31 4DJ,1617778511.0,1-131464622,1-2875180717,http://www.eamcaregroup.co.uk,Trafford,North West,2019-03-09T00:00:00Z,http://www.cqc.org.uk/location/1-2875180717,Number 46,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",Nursing homes,EAM Lodge Community Interest Company
Parkview Care Home,56 Clayton Hall Road,Clayton,Manchester,,M11 4WH,1612207145.0,1-101712456,1-3478157996,,Manchester,North West,2020-11-21T00:00:00Z,http://www.cqc.org.uk/location/1-3478157996,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mr Bradley Scott Jones & Mr Russell Scott Jones
Mayfield Care Home,Beaufort Road,,Sale,Cheshire,M33 3WR,1619732371.0,1-2138199484,1-2193087415,,Trafford,North West,2020-11-18T00:00:00Z,http://www.cqc.org.uk/location/1-2193087415,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mayfield Carehome Ltd
Oakland (Rochdale),Bury Road,,Rochdale,Lancashire,OL11 5EU,1706642448.0,1-305829465,1-320496700,http://www.hc-one.co.uk/homes/oakland,Rochdale,North West,2020-11-21T00:00:00Z,http://www.cqc.org.uk/location/1-320496700,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,HC-One Limited
St James House,Danes Road,,Manchester,Lancashire,M14 5LB,1612256999.0,1-101645441,1-121992613,http://www.standwalk.com,Manchester,North West,2020-10-19T23:00:00Z,http://www.cqc.org.uk/location/1-121992613,,"Caring for adults under 65 yrs,Learning disabilities",Residential homes,Standwalk Ltd
Ashbourne House - Stockport,147-149 Gatley Road,Gatley,Cheadle,Cheshire,SK8 4PD,1614911201.0,1-101609768,1-120050130,,Stockport,North West,2020-11-21T00:00:00Z,http://www.cqc.org.uk/location/1-120050130,,Caring for adults over 65 yrs,Residential homes,Casequest Limited
Park Hills Nursing Home,199 Chamber Road,Coppice,Oldham,Lancashire,OL8 4DJ,1616246671.0,1-101633224,1-113831768,,Oldham,North West,2020-10-12T23:00:00Z,http://www.cqc.org.uk/location/1-113831768,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Homecare agencies",Mrs Barbara Rogers
Walmersley Road,267 Walmersley Road,,Bury,Lancashire,BL9 6NX,1617612484.0,1-101678377,1-132122374,http://www.potensial.co.uk,Bury,North West,2019-03-13T00:00:00Z,http://www.cqc.org.uk/location/1-132122374,,Learning disabilities,Residential homes,Pendleton Care Limited
118 Kings Road,118 Kings Road,Prestwich,Manchester,,M25 0FY,1617732432.0,1-7585428372,1-8135199622,,Bury,North West,2019-03-15T00:00:00Z,http://www.cqc.org.uk/location/1-8135199622,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Outreach Community and Residential Services
Highbury Court Flats,443 Bury Old Road,Prestwich,Manchester,,M25 1QP,1617730776.0,1-7585428372,1-8134632536,,Bury,North West,2018-11-20T00:00:00Z,http://www.cqc.org.uk/location/1-8134632536,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Outreach Community and Residential Services
17 York Avenue,17 York Avenue,Prestwich,Manchester,,M25 0FZ,1617730776.0,1-7585428372,1-8134632574,,Bury,North West,2019-03-21T00:00:00Z,http://www.cqc.org.uk/location/1-8134632574,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Outreach Community and Residential Services
86 Meade Hill Road,86 Meade Hill Road,,Manchester,,M8 4LP,1617733256.0,1-7585428372,1-8135199670,,Bury,North West,2019-03-29T00:00:00Z,http://www.cqc.org.uk/location/1-8135199670,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Outreach Community and Residential Services
The Acres,10 Rush Acre Close,Radcliffe,Manchester,,M26 3XW,1618505333.0,1-5700246890,1-6037749750,,Bury,North West,2020-09-22T23:00:00Z,http://www.cqc.org.uk/location/1-6037749750,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Inspired 4 Care Limited
Ashlands Manor Care Centre,2 Ashlands,,Sale,Cheshire,M33 5PD,1619050760.0,1-3306973883,1-3537785301,http://www.newcarehomes.com,Trafford,North West,2019-02-08T00:00:00Z,http://www.cqc.org.uk/location/1-3537785301,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Residential homes",New Care Projects Sale (OPCO) Limited
